DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Reggie Bullock,North Carolina,78.0,205.0,7,25,Guard-Forward,Knicks,2013,1,25,9.3,1.4,3.4,0.065,4200000.0,30,7
Trey Burke,Michigan,72.0,185.0,7,3,Guard,Mavericks,2013,1,9,7.0,1.5,0.9,0.083,3150000.0,28,7
Alec Burks,Colorado,78.0,214.0,9,18,Guard,Knicks,2011,1,12,12.6,2.2,4.3,0.108,6000000.0,29,9
Jimmy Butler,Marquette,79.0,230.0,9,22,Forward,Heat,2011,1,30,21.3,7.3,7.9,0.19,36016200.0,31,9
Vlatko Cancar,San Pablo Burgos,80.0,236.0,1,31,Forward,Nuggets,2017,2,49,1.4,0.3,1.2,0.056,1842959.3333333333,24,1
Clint Capela,Elan Chalon,82.0,240.0,6,15,Center,Hawks,2014,1,25,14.3,0.9,14.2,0.161,17103448.0,27,6
Jevon Carter,West Virginia,73.0,200.0,2,4,Guard,Suns,2018,2,32,2.8,1.1,1.1,0.066,3833333.3333333335,25,2
Alex Caruso,Texas A&M,76.0,186.0,3,4,Guard,Lakers,Undrafted,Undrafted,Undrafted,5.8,2.4,2.9,0.08,2750000.0,27,3
Chris Chiozza,Florida,71.0,175.0,2,4,Guard,Nets,Undrafted,Undrafted,Undrafted,3.5,2.4,1.1,0.095,1729217.0,25,2
Gary Clark,Cincinnati,78.0,225.0,2,12,Forward,Magic,Undrafted,Undrafted,Undrafted,3.4,0.9,3.2,0.044,2050000.0,26,2
Brandon Clarke,Gonzaga,80.0,215.0,1,15,Forward,Grizzlies,2019,1,21,11.8,1.5,5.5,0.11,3983327.25,24,1
Jordan Clarkson,Missouri,76.0,194.0,6,00,Guard,Jazz,2014,2,46,17.5,2.2,3.9,0.116,12880000.0,29,6
Nicolas Claxton,Georgia,83.0,215.0,1,33,Forward-Center,Nets,2019,2,31,9.8,0.9,4.3,0.143,1842959.3333333333,22,1
Amir Coffey,Minnesota,79.0,210.0,1,7,Guard-Forward,Clippers,Undrafted,Undrafted,Undrafted,2.9,0.5,0.7,0.073,1669178.0,24,1
John Collins,Wake Forest,81.0,235.0,3,20,Forward-Center,Hawks,2017,1,19,18.3,1.3,7.8,0.124,5921374.5,23,3
Zach Collins,Gonzaga,83.0,250.0,3,33,Forward-Center,Trail Blazers,2017,1,10,7.0,1.5,6.3,0.054,6384787.0,23,3
Mike Conley,Ohio State,73.0,175.0,13,10,Guard,Jazz,2007,1,4,16.4,5.5,3.4,0.125,34502132.0,33,13
Pat Connaughton,Notre Dame,77.0,209.0,5,24,Guard,Bucks,2015,2,41,6.9,1.3,4.5,0.082,5333333.333333333,28,5
DeMarcus Cousins,Kentucky,82.0,270.0,9,,Center,,2010,1,5,9.6,2.4,7.6,0.127,110998.0,30,10
Robert Covington,Tennessee State,79.0,209.0,7,23,Forward,Trail Blazers,Undrafted,Undrafted,Undrafted,8.6,1.7,6.7,0.073,12556908.0,30,7
Torrey Craig,South Carolina Upstate,79.0,221.0,3,12,Forward,Suns,Undrafted,Undrafted,Undrafted,2.9,0.9,2.4,0.061,1620564.0,30,3
Jae Crowder,Marquette,78.0,235.0,8,99,Forward,Suns,2012,2,34,10.1,2.0,5.0,0.088,9720900.0,30,8
Jarrett Culver,Texas Tech,78.0,195.0,1,23,Guard-Forward,Timberwolves,2019,1,6,6.8,0.8,4.3,0.059,7856498.25,22,1
Seth Curry,Duke,74.0,185.0,6,31,Guard,76ers,Undrafted,Undrafted,Undrafted,12.9,2.9,2.2,0.082,8179540.0,30,7
Stephen Curry,Davidson,75.0,185.0,11,30,Guard,Warriors,2009,1,7,29.0,6.2,5.3,0.176,44393664.0,33,11
Anthony Davis,Kentucky,82.0,253.0,8,3,Forward-Center,Lakers,2012,1,1,22.5,3.0,8.4,0.163,37980720.0,28,8
